"","Site","Pol_sp","Plant_sp","Links"
"526",14,"P.pseudorudis","Rubus_fruticosus",0
"527",14,"T.orthodoxus","Rubus_fruticosus",0
"528",14,"A.mellifera","Taraxacum_officinale",1
"529",14,"D.platura","Taraxacum_officinale",0
"530",14,"L.sordidum","Taraxacum_officinale",4
"531",14,"O.atrovirens","Taraxacum_officinale",0
"532",14,"O.varia","Taraxacum_officinale",0
"533",14,"P.marginata","Taraxacum_officinale",0
"534",14,"P.pseudorudis","Taraxacum_officinale",0
"535",14,"T.orthodoxus","Taraxacum_officinale",1
"536",14,"A.mellifera","Trifolium_sp",0
"537",14,"D.platura","Trifolium_sp",0
"538",14,"L.sordidum","Trifolium_sp",0
"539",14,"O.atrovirens","Trifolium_sp",0
"540",14,"O.varia","Trifolium_sp",0
"541",14,"P.marginata","Trifolium_sp",1
"542",14,"P.pseudorudis","Trifolium_sp",0
"543",14,"T.orthodoxus","Trifolium_sp",0
"544",15,"D.platura","Eucalyptus_nitens",0
"545",15,"P.marginata","Eucalyptus_nitens",1
"546",15,"D.platura","Raphanus_sp",2
"547",15,"P.marginata","Raphanus_sp",0
"548",16,"A.mellifera","Eucalyptus_globulus",1
"549",16,"P.marginata","Eucalyptus_globulus",0
"550",16,"A.mellifera","Lolium_sp",1
"551",16,"P.marginata","Lolium_sp",1
"552",16,"A.mellifera","Raphanus_sp",1
"553",16,"P.marginata","Raphanus_sp",0
"554",16,"A.mellifera","Taraxacum_officinale",1
"555",16,"P.marginata","Taraxacum_officinale",0
"556",16,"A.mellifera","Trifolium_sp",1
"557",16,"P.marginata","Trifolium_sp",0
"558",17,"A.mellifera","Chenopodium_album",0
"559",17,"D.platura","Chenopodium_album",1
